Time,Voltage
-1.94960000e-008,-7.99999857e-004
-1.94920000e-008,-9.59374868e-004
-1.94880000e-008,-9.23437366e-004
-1.94840000e-008,-7.12499851e-004
-1.94800000e-008,-3.81249827e-004
-1.94760000e-008,1.99675600e-010
-1.94720000e-008,3.70312726e-004
-1.94680000e-008,6.54687746e-004
-1.94640000e-008,8.26562758e-004
-1.94600000e-008,8.70312761e-004
-1.94560000e-008,8.00000256e-004
-1.94520000e-008,6.43750245e-004
-1.94480000e-008,4.46875231e-004
-1.94440000e-008,2.54687718e-004
-1.94400000e-008,9.84377066e-005
-1.94360000e-008,1.99675600e-010
-1.94320000e-008,-1.56248014e-005
-1.94280000e-008,1.40627007e-005
-1.94240000e-008,5.00002032e-005
-1.94200000e-008,5.46877035e-005
-1.94160000e-008,1.99675600e-010
-1.94120000e-008,-9.37498070e-005
-1.94080000e-008,-2.23437316e-004
-1.94040000e-008,-3.49999825e-004
-1.94000000e-008,-4.21874830e-004
-1.93960000e-008,-3.99999829e-004
-1.93920000e-008,-2.62499819e-004
-1.93880000e-008,-2.96873024e-005
-1.93840000e-008,2.59375218e-004
-1.93800000e-008,5.50000239e-004
-1.93760000e-008,8.00000256e-004
-1.93720000e-008,9.73437769e-004
-1.93680000e-008,1.07187528e-003
-1.93640000e-008,1.11875028e-003
-1.93600000e-008,1.14843778e-003
-1.93560000e-008,1.20000028e-003
-1.93520000e-008,1.28593779e-003
-1.93480000e-008,1.42343780e-003
-1.93440000e-008,1.60625031e-003
-1.93400000e-008,1.80937533e-003
-1.93360000e-008,2.00000034e-003
-1.93320000e-008,2.11250035e-003
-1.93280000e-008,2.14218785e-003
-1.93240000e-008,2.06718785e-003
-1.93200000e-008,1.88125033e-003
-1.93160000e-008,1.60000031e-003
-1.93120000e-008,1.24375029e-003
-1.93080000e-008,8.93750263e-004
-1.93040000e-008,6.07812743e-004
-1.93000000e-008,4.32812730e-004
-1.92960000e-008,4.00000228e-004
-1.92920000e-008,4.98437735e-004
-1.92880000e-008,6.95312749e-004
-1.92840000e-008,9.23437765e-004
-1.92800000e-008,1.11093778e-003
-1.92760000e-008,1.20000028e-003
-1.92720000e-008,1.15000028e-003
-1.92680000e-008,9.90625270e-004
-1.92640000e-008,7.68750254e-004
-1.92600000e-008,5.51562739e-004
-1.92560000e-008,4.00000228e-004
-1.92520000e-008,3.56250225e-004
-1.92480000e-008,4.10937729e-004
-1.92440000e-008,5.35937738e-004
-1.92400000e-008,6.79687748e-004
-1.92360000e-008,8.00000256e-004
-1.92320000e-008,8.70312761e-004
-1.92280000e-008,8.79687762e-004
-1.92240000e-008,8.48437760e-004
-1.92200000e-008,8.12500257e-004
-1.92160000e-008,8.00000256e-004
-1.92120000e-008,8.25000258e-004
-1.92080000e-008,8.68750261e-004
-1.92040000e-008,9.00000263e-004
-1.92000000e-008,8.85937762e-004
-1.91960000e-008,8.00000256e-004
-1.91920000e-008,6.37500245e-004
-1.91880000e-008,4.32812730e-004
-1.91840000e-008,2.26562716e-004
-1.91800000e-008,6.87502045e-005
-1.91760000e-008,1.99675600e-010
-1.91720000e-008,5.15627033e-005
-1.91680000e-008,1.95312713e-004
-1.91640000e-008,3.98437728e-004
-1.91600000e-008,6.12500243e-004
-1.91560000e-008,8.00000256e-004
-1.91520000e-008,9.18750265e-004
-1.91480000e-008,9.62500268e-004
-1.91440000e-008,9.40625266e-004
-1.91400000e-008,8.76562762e-004
-1.91360000e-008,8.00000256e-004
-1.91320000e-008,7.32812752e-004
-1.91280000e-008,6.98437749e-004
-1.91240000e-008,7.01562749e-004
-1.91200000e-008,7.39062752e-004
-1.91160000e-008,8.00000256e-004
-1.91120000e-008,8.59375261e-004
-1.91080000e-008,9.01562763e-004
-1.91040000e-008,9.09375264e-004
-1.91000000e-008,8.75000262e-004
-1.90960000e-008,8.00000256e-004
-1.90920000e-008,6.98437749e-004
-1.90880000e-008,5.87500241e-004
-1.90840000e-008,4.87500234e-004
-1.90800000e-008,4.20312729e-004
-1.90760000e-008,4.00000228e-004
-1.90720000e-008,4.25000230e-004
-1.90680000e-008,4.98437735e-004
-1.90640000e-008,6.00000242e-004
-1.90600000e-008,7.09375250e-004
-1.90560000e-008,8.00000256e-004
-1.90520000e-008,8.50000260e-004
-1.90480000e-008,8.37500259e-004
-1.90440000e-008,7.51562753e-004
-1.90400000e-008,5.98437742e-004
-1.90360000e-008,4.00000228e-004
-1.90320000e-008,2.06250214e-004
-1.90280000e-008,6.56252043e-005
-1.90240000e-008,3.28127020e-005
-1.90200000e-008,1.42187710e-004
-1.90160000e-008,4.00000228e-004
-1.90120000e-008,7.67187754e-004
-1.90080000e-008,1.15937528e-003
-1.90040000e-008,1.48281280e-003
-1.90000000e-008,1.64687532e-003
-1.89960000e-008,1.60000031e-003
-1.89920000e-008,1.32500029e-003
-1.89880000e-008,9.12500264e-004
-1.89840000e-008,4.76562733e-004
-1.89800000e-008,1.40625210e-004
-1.89760000e-008,1.99675600e-010
-1.89720000e-008,1.04687707e-004
-1.89680000e-008,4.15625229e-004
-1.89640000e-008,8.45312760e-004
-1.89600000e-008,1.27812529e-003
-1.89560000e-008,1.60000031e-003
-1.89520000e-008,1.72656282e-003
-1.89480000e-008,1.65468782e-003
-1.89440000e-008,1.42500030e-003
-1.89400000e-008,1.11406278e-003
-1.89360000e-008,8.00000256e-004
-1.89320000e-008,5.46875238e-004
-1.89280000e-008,4.00000228e-004
-1.89240000e-008,3.48437724e-004
-1.89200000e-008,3.64062725e-004
-1.89160000e-008,4.00000228e-004
-1.89120000e-008,4.14062729e-004
-1.89080000e-008,3.82812727e-004
-1.89040000e-008,2.93750220e-004
-1.89000000e-008,1.57812711e-004
-1.88960000e-008,1.99675600e-010
-1.88920000e-008,-1.29687310e-004
-1.88880000e-008,-2.17187316e-004
-1.88840000e-008,-2.34374817e-004
-1.88800000e-008,-1.64062312e-004
-1.88760000e-008,1.99675600e-010
-1.88720000e-008,2.48437717e-004
-1.88680000e-008,5.35937738e-004
-1.88640000e-008,8.21875258e-004
-1.88600000e-008,1.05625027e-003
-1.88560000e-008,1.20000028e-003
-1.88520000e-008,1.21875029e-003
-1.88480000e-008,1.11875028e-003
-1.88440000e-008,9.21875265e-004
-1.88400000e-008,6.67187747e-004
-1.88360000e-008,4.00000228e-004
-1.88320000e-008,1.78125212e-004
-1.88280000e-008,2.34377013e-005
-1.88240000e-008,-5.62498043e-005
-1.88200000e-008,-6.09373046e-005
-1.88160000e-008,1.99675600e-010
-1.88120000e-008,1.18750208e-004
-1.88080000e-008,2.71875219e-004
-1.88040000e-008,4.43750231e-004
-1.88000000e-008,6.26562744e-004
-1.87960000e-008,8.00000256e-004
-1.87920000e-008,9.39062766e-004
-1.87880000e-008,1.02500027e-003
-1.87840000e-008,1.03437527e-003
-1.87800000e-008,9.57812767e-004
-1.87760000e-008,8.00000256e-004
-1.87720000e-008,5.93750242e-004
-1.87680000e-008,4.00000228e-004
-1.87640000e-008,2.75000219e-004
-1.87600000e-008,2.67187719e-004
-1.87560000e-008,4.00000228e-004
-1.87520000e-008,6.65625247e-004
-1.87480000e-008,9.95312770e-004
-1.87440000e-008,1.31093779e-003
-1.87400000e-008,1.53125031e-003
-1.87360000e-008,1.60000031e-003
-1.87320000e-008,1.47968780e-003
-1.87280000e-008,1.22343779e-003
-1.87240000e-008,9.01562763e-004
-1.87200000e-008,6.01562742e-004
-1.87160000e-008,4.00000228e-004
-1.87120000e-008,3.50000224e-004
-1.87080000e-008,4.51562732e-004
-1.87040000e-008,6.71875247e-004
-1.87000000e-008,9.43750266e-004
-1.86960000e-008,1.20000028e-003
-1.86920000e-008,1.37812530e-003
-1.86880000e-008,1.45312530e-003
-1.86840000e-008,1.43125030e-003
-1.86800000e-008,1.33437529e-003
-1.86760000e-008,1.20000028e-003
-1.86720000e-008,1.04843777e-003
-1.86680000e-008,9.23437765e-004
-1.86640000e-008,8.40625259e-004
-1.86600000e-008,8.01562756e-004
-1.86560000e-008,8.00000256e-004
-1.86520000e-008,8.09375257e-004
-1.86480000e-008,8.25000258e-004
-1.86440000e-008,8.34375259e-004
-1.86400000e-008,8.26562758e-004
-1.86360000e-008,8.00000256e-004
-1.86320000e-008,7.60937754e-004
-1.86280000e-008,7.23437751e-004
-1.86240000e-008,7.07812750e-004
-1.86200000e-008,7.29687751e-004
-1.86160000e-008,8.00000256e-004
-1.86120000e-008,9.03125264e-004
-1.86080000e-008,1.02656277e-003
-1.86040000e-008,1.13906278e-003
-1.86000000e-008,1.20625029e-003
-1.85960000e-008,1.20000028e-003
-1.85920000e-008,1.09843778e-003
-1.85880000e-008,9.04687764e-004
-1.85840000e-008,6.35937745e-004
-1.85800000e-008,3.23437723e-004
-1.85760000e-008,1.99675600e-010
-1.85720000e-008,-2.71874820e-004
-1.85680000e-008,-4.65624833e-004
-1.85640000e-008,-5.56249840e-004
-1.85600000e-008,-5.31249838e-004
-1.85560000e-008,-3.99999829e-004
-1.85520000e-008,-1.82812313e-004
-1.85480000e-008,5.46877035e-005
-1.85440000e-008,2.57812718e-004
-1.85400000e-008,3.81250227e-004
-1.85360000e-008,4.00000228e-004
-1.85320000e-008,3.23437723e-004
-1.85280000e-008,1.85937713e-004
-1.85240000e-008,4.68752030e-005
-1.85200000e-008,-3.12498025e-005
-1.85160000e-008,1.99675600e-010
-1.85120000e-008,1.71875212e-004
-1.85080000e-008,4.39062731e-004
-1.85040000e-008,7.45312752e-004
-1.85000000e-008,1.02031277e-003
-1.84960000e-008,1.20000028e-003
-1.84920000e-008,1.23281279e-003
-1.84880000e-008,1.12656278e-003
-1.84840000e-008,9.15625264e-004
-1.84800000e-008,6.54687746e-004
-1.84760000e-008,4.00000228e-004
-1.84720000e-008,1.98437714e-004
-1.84680000e-008,7.18752048e-005
-1.84640000e-008,1.25002006e-005
-1.84600000e-008,-4.68730066e-006
-1.84560000e-008,1.99675600e-010
-1.84520000e-008,2.18752012e-005
-1.84480000e-008,5.93752039e-005
-1.84440000e-008,1.25000209e-004
-1.84400000e-008,2.35937716e-004
-1.84360000e-008,4.00000228e-004
-1.84320000e-008,6.06250243e-004
-1.84280000e-008,8.26562758e-004
-1.84240000e-008,1.02343777e-003
-1.84200000e-008,1.15781278e-003
-1.84160000e-008,1.20000028e-003
-1.84120000e-008,1.12812528e-003
-1.84080000e-008,9.73437769e-004
