position;run_num;file_name
89.5;1;15_Aug_2023_0053_EMM_Run1_e_200Gev
87;2;15_Aug_2023_0147_EMM_Run2_e_200Gev
84.5;3;15_Aug_2023_0151_EMM_Run3_e_200Gev
82;4;15_Aug_2023_0153_EMM_Run4_e_200Gev
79.5;5;15_Aug_2023_0154_EMM_Run5_e_200Gev
77;6;15_Aug_2023_0156_EMM_Run6_e_200Gev
74.5;7;15_Aug_2023_0157_EMM_Run7_e_200Gev
72;8;15_Aug_2023_0158_EMM_Run8_e_200Gev
69.5;9;15_Aug_2023_0200_EMM_Run9_e_200Gev
67;10;15_Aug_2023_0201_EMM_Run10_e_200Gev
64.5;11;15_Aug_2023_0202_EMM_Run11_e_200Gev
62;12;15_Aug_2023_0203_EMM_Run12_e_200Gev
59.5;13;15_Aug_2023_0204_EMM_Run13_e_200Gev
57;14;15_Aug_2023_0206_EMM_Run14_e_200Gev
54.5;15;15_Aug_2023_0207_EMM_Run15_e_200Gev
52;16;15_Aug_2023_0208_EMM_Run16_e_200Gev
49.5;17;15_Aug_2023_0210_EMM_Run17_e_200Gev
47;18;15_Aug_2023_0212_EMM_Run18_e_200Gev
44.5;19;15_Aug_2023_0212_EMM_Run19_e_200Gev
42;20;15_Aug_2023_0213_EMM_Run20_e_200Gev
39.5;21;15_Aug_2023_0214_EMM_Run21_e_200Gev
37;22;15_Aug_2023_0216_EMM_Run22_e_200Gev
34.5;23;15_Aug_2023_0217_EMM_Run23_e_200Gev
32;24;15_Aug_2023_0218_EMM_Run24_e_200Gev
29.5;25;15_Aug_2023_0219_EMM_Run25_e_200Gev
27;26;15_Aug_2023_0221_EMM_Run26_e_200Gev
24.5;27;15_Aug_2023_0222_EMM_Run27_e_200Gev
22;28;15_Aug_2023_0224_EMM_Run28_e_200Gev
19.5;29;15_Aug_2023_0225_EMM_Run29_e_200Gev
17;30;15_Aug_2023_0226_EMM_Run30_e_200Gev
14.5;31;15_Aug_2023_0228_EMM_Run31_e_200Gev
12;32;15_Aug_2023_0229_EMM_Run32_e_200Gev
9.5;33;15_Aug_2023_0230_EMM_Run33_e_200Gev
7;34;15_Aug_2023_0232_EMM_Run34_e_200Gev
4.5;35;15_Aug_2023_0233_EMM_Run35_e_200Gev
2;36;15_Aug_2023_0236_EMM_Run36_e_200Gev
-0.5;37;15_Aug_2023_0238_EMM_Run37_e_200Gev
-3;38;15_Aug_2023_0239_EMM_Run38_e_200Gev
-5.5;39;15_Aug_2023_0241_EMM_Run39_e_200Gev
-8;40;15_Aug_2023_0242_EMM_Run40_e_200Gev
-10.5;41;15_Aug_2023_0243_EMM_Run41_e_200Gev
-13;42;15_Aug_2023_0245_EMM_Run42_e_200Gev
-15.5;43;15_Aug_2023_0247_EMM_Run43_e_200Gev
-18;44;15_Aug_2023_0248_EMM_Run44_e_200Gev
-20.5;45;15_Aug_2023_0250_EMM_Run45_e_200Gev
-23;46;15_Aug_2023_0251_EMM_Run46_e_200Gev
-25.5;47;15_Aug_2023_0253_EMM_Run47_e_200Gev
-28;48;15_Aug_2023_0255_EMM_Run48_e_200Gev
-30.5;49;15_Aug_2023_0256_EMM_Run49_e_200Gev
-33;50;15_Aug_2023_0257_EMM_Run50_e_200Gev
-35.5;51;15_Aug_2023_0259_EMM_Run51_e_200Gev
-38;52;15_Aug_2023_0300_EMM_Run52_e_200Gev
-40.5;53;15_Aug_2023_0301_EMM_Run53_e_200Gev
-43;54;15_Aug_2023_0303_EMM_Run54_e_200Gev
-45.5;55;15_Aug_2023_0305_EMM_Run55_e_200Gev
-48;56;15_Aug_2023_0306_EMM_Run56_e_200Gev
-50.5;57;15_Aug_2023_0307_EMM_Run57_e_200Gev
-53;58;15_Aug_2023_0309_EMM_Run58_e_200Gev
-55.5;59;15_Aug_2023_0311_EMM_Run59_e_200Gev
-58;60;15_Aug_2023_0312_EMM_Run60_e_200Gev
-60.5;61;15_Aug_2023_0313_EMM_Run61_e_200Gev
-63;62;15_Aug_2023_0314_EMM_Run62_e_200Gev
