second,Volt
-10.00000E-06,+27.43462147E-03
-9.99000E-06,+29.61035375E-03
-9.98000E-06,+31.78608604E-03
-9.97000E-06,+33.69881772E-03
-9.96000E-06,+35.03772989E-03
-9.95000E-06,+35.68327683E-03
-9.94000E-06,+37.11782559E-03
-9.93000E-06,+38.14591886E-03
-9.92000E-06,+38.36110118E-03
-9.91000E-06,+38.86319324E-03
-9.90000E-06,+39.93910481E-03
-9.89000E-06,+40.32165115E-03
-9.88000E-06,+40.39337859E-03
-9.87000E-06,+40.63247005E-03
-9.86000E-06,+41.32583528E-03
-9.85000E-06,+41.23019869E-03
-9.84000E-06,+41.18238040E-03
-9.83000E-06,+41.44538101E-03
-9.82000E-06,+41.78010905E-03
-9.81000E-06,+41.82792734E-03
-9.80000E-06,+41.63665418E-03
-9.79000E-06,+41.82792734E-03
-9.78000E-06,+41.99529137E-03
-9.77000E-06,+42.11483710E-03
-9.76000E-06,+41.82792734E-03
-9.75000E-06,+41.94747307E-03
-9.74000E-06,+42.04310966E-03
-9.73000E-06,+41.82792734E-03
-9.72000E-06,+41.66056332E-03
-9.71000E-06,+42.09092795E-03
-9.70000E-06,+42.11483710E-03
-9.69000E-06,+42.04310966E-03
-9.68000E-06,+42.16265539E-03
-9.67000E-06,+42.18656453E-03
-9.66000E-06,+42.06701880E-03
-9.65000E-06,+42.66474745E-03
-9.64000E-06,+42.59302001E-03
-9.63000E-06,+42.25829197E-03
-9.62000E-06,+42.78429318E-03
-9.61000E-06,+42.83211147E-03
-9.60000E-06,+43.02338464E-03
-9.59000E-06,+42.76038404E-03
-9.58000E-06,+42.49738343E-03
-9.57000E-06,+42.99947550E-03
-9.56000E-06,+42.83211147E-03
-9.55000E-06,+42.44956514E-03
-9.54000E-06,+42.73647489E-03
-9.53000E-06,+42.80820233E-03
-9.52000E-06,+42.37783770E-03
-9.51000E-06,+41.99529137E-03
-9.50000E-06,+42.16265539E-03
-9.49000E-06,+42.13874624E-03
-9.48000E-06,+41.87574564E-03
-9.47000E-06,+41.66056332E-03
-9.46000E-06,+41.68447247E-03
