Time,Voltage
-9.77760000e-008,7.12500050e-004
-9.77720000e-008,5.65625040e-004
-9.77680000e-008,3.82812527e-004
-9.77640000e-008,1.85937513e-004
-9.77600000e-008,0.00000000e+000
-9.77560000e-008,-1.46875010e-004
-9.77520000e-008,-2.50000018e-004
-9.77480000e-008,-3.18750023e-004
-9.77440000e-008,-3.64062526e-004
-9.77400000e-008,-4.00000028e-004
-9.77360000e-008,-4.15625029e-004
-9.77320000e-008,-4.28125030e-004
-9.77280000e-008,-4.32812531e-004
-9.77240000e-008,-4.25000030e-004
-9.77200000e-008,-4.00000028e-004
-9.77160000e-008,-3.34375024e-004
-9.77120000e-008,-2.51562518e-004
-9.77080000e-008,-1.60937511e-004
-9.77040000e-008,-7.50000053e-005
-9.77000000e-008,0.00000000e+000
-9.76960000e-008,7.03125050e-005
-9.76920000e-008,1.34375010e-004
-9.76880000e-008,2.01562514e-004
-9.76840000e-008,2.87500020e-004
-9.76800000e-008,4.00000028e-004
-9.76760000e-008,5.39062538e-004
-9.76720000e-008,7.00000050e-004
-9.76680000e-008,8.71875062e-004
-9.76640000e-008,1.04218757e-003
-9.76600000e-008,1.20000008e-003
-9.76560000e-008,1.31718759e-003
-9.76520000e-008,1.40937510e-003
-9.76480000e-008,1.48281260e-003
-9.76440000e-008,1.54375011e-003
-9.76400000e-008,1.60000011e-003
-9.76360000e-008,1.62968762e-003
-9.76320000e-008,1.65312512e-003
-9.76280000e-008,1.66406262e-003
-9.76240000e-008,1.65000012e-003
-9.76200000e-008,1.60000011e-003
-9.76160000e-008,1.49531261e-003
-9.76120000e-008,1.35781260e-003
-9.76080000e-008,1.19062508e-003
-9.76040000e-008,1.00156257e-003
-9.76000000e-008,8.00000057e-004
-9.75960000e-008,5.98437542e-004
-9.75920000e-008,4.14062529e-004
-9.75880000e-008,2.51562518e-004
-9.75840000e-008,1.12500008e-004
-9.75800000e-008,0.00000000e+000
-9.75760000e-008,-6.56250046e-005
-9.75720000e-008,-9.68750069e-005
-9.75680000e-008,-9.68750069e-005
-9.75640000e-008,-6.40625045e-005
-9.75600000e-008,0.00000000e+000
-9.75560000e-008,1.14062508e-004
-9.75520000e-008,2.54687518e-004
-9.75480000e-008,4.20312530e-004
-9.75440000e-008,6.03125043e-004
-9.75400000e-008,8.00000057e-004
-9.75360000e-008,1.01093757e-003
-9.75320000e-008,1.20937509e-003
-9.75280000e-008,1.37968760e-003
-9.75240000e-008,1.51093761e-003
-9.75200000e-008,1.60000011e-003
-9.75160000e-008,1.64218762e-003
-9.75120000e-008,1.65000012e-003
-9.75080000e-008,1.63593762e-003
-9.75040000e-008,1.61406261e-003
-9.75000000e-008,1.60000011e-003
-9.74960000e-008,1.59062511e-003
-9.74920000e-008,1.59531261e-003
-9.74880000e-008,1.60468761e-003
-9.74840000e-008,1.60937511e-003
-9.74800000e-008,1.60000011e-003
-9.74760000e-008,1.57187511e-003
-9.74720000e-008,1.54531261e-003
-9.74680000e-008,1.53437511e-003
-9.74640000e-008,1.55000011e-003
-9.74600000e-008,1.60000011e-003
-9.74560000e-008,1.67343762e-003
-9.74520000e-008,1.77187513e-003
-9.74480000e-008,1.87500013e-003
-9.74440000e-008,1.95781264e-003
-9.74400000e-008,2.00000014e-003
-9.74360000e-008,1.97812514e-003
-9.74320000e-008,1.91093764e-003
-9.74280000e-008,1.81250013e-003
-9.74240000e-008,1.70156262e-003
-9.74200000e-008,1.60000011e-003
-9.74160000e-008,1.52500011e-003
-9.74120000e-008,1.49062511e-003
-9.74080000e-008,1.49531261e-003
-9.74040000e-008,1.53437511e-003
-9.74000000e-008,1.60000011e-003
-9.73960000e-008,1.68906262e-003
-9.73920000e-008,1.78281263e-003
-9.73880000e-008,1.87031263e-003
-9.73840000e-008,1.94531264e-003
-9.73800000e-008,2.00000014e-003
-9.73760000e-008,2.03593764e-003
-9.73720000e-008,2.05312515e-003
-9.73680000e-008,2.05156265e-003
-9.73640000e-008,2.03281264e-003
-9.73600000e-008,2.00000014e-003
-9.73560000e-008,1.94062514e-003
-9.73520000e-008,1.86875013e-003
-9.73480000e-008,1.78281263e-003
-9.73440000e-008,1.69062512e-003
-9.73400000e-008,1.60000011e-003
-9.73360000e-008,1.51562511e-003
-9.73320000e-008,1.45781260e-003
-9.73280000e-008,1.44375010e-003
-9.73240000e-008,1.48750011e-003
-9.73200000e-008,1.60000011e-003
-9.73160000e-008,1.77812513e-003
-9.73120000e-008,2.01250014e-003
-9.73080000e-008,2.27812516e-003
-9.73040000e-008,2.55000018e-003
-9.73000000e-008,2.80000020e-003
-9.72960000e-008,2.98125021e-003
-9.72920000e-008,3.08125022e-003
-9.72880000e-008,3.08750022e-003
-9.72840000e-008,2.99218771e-003
-9.72800000e-008,2.80000020e-003
-9.72760000e-008,2.51093768e-003
-9.72720000e-008,2.17500015e-003
-9.72680000e-008,1.82343763e-003
-9.72640000e-008,1.48906261e-003
-9.72600000e-008,1.20000008e-003
-9.72560000e-008,9.76562569e-004
-9.72520000e-008,8.28125059e-004
-9.72480000e-008,7.54687553e-004
-9.72440000e-008,7.48437553e-004
-9.72400000e-008,8.00000057e-004
-9.72360000e-008,8.95312563e-004
-9.72320000e-008,1.02500007e-003
-9.72280000e-008,1.18750008e-003
-9.72240000e-008,1.37968760e-003
-9.72200000e-008,1.60000011e-003
-9.72160000e-008,1.82343763e-003
-9.72120000e-008,2.03437514e-003
-9.72080000e-008,2.21406266e-003
-9.72040000e-008,2.34218767e-003
-9.72000000e-008,2.40000017e-003
-9.71960000e-008,2.36875017e-003
-9.71920000e-008,2.25625016e-003
-9.71880000e-008,2.07812515e-003
-9.71840000e-008,1.85156263e-003
-9.71800000e-008,1.60000011e-003
-9.71760000e-008,1.34375010e-003
-9.71720000e-008,1.09062508e-003
-9.71680000e-008,8.45312560e-004
-9.71640000e-008,6.14062543e-004
-9.71600000e-008,4.00000028e-004
-9.71560000e-008,2.20312516e-004
-9.71520000e-008,8.12500058e-005
-9.71480000e-008,-6.25000044e-006
-9.71440000e-008,-3.59375025e-005
-9.71400000e-008,0.00000000e+000
-9.71360000e-008,1.09375008e-004
-9.71320000e-008,2.65625019e-004
-9.71280000e-008,4.46875032e-004
-9.71240000e-008,6.31250045e-004
-9.71200000e-008,8.00000057e-004
-9.71160000e-008,9.40625067e-004
-9.71120000e-008,1.04375007e-003
-9.71080000e-008,1.11406258e-003
-9.71040000e-008,1.16250008e-003
-9.71000000e-008,1.20000008e-003
-9.70960000e-008,1.22968759e-003
-9.70920000e-008,1.24843759e-003
-9.70880000e-008,1.25156259e-003
-9.70840000e-008,1.23593759e-003
-9.70800000e-008,1.20000008e-003
-9.70760000e-008,1.13906258e-003
-9.70720000e-008,1.05937507e-003
-9.70680000e-008,9.68750069e-004
-9.70640000e-008,8.78125062e-004
-9.70600000e-008,8.00000057e-004
-9.70560000e-008,7.45312553e-004
-9.70520000e-008,7.20312551e-004
-9.70480000e-008,7.26562551e-004
-9.70440000e-008,7.56250054e-004
-9.70400000e-008,8.00000057e-004
-9.70360000e-008,8.37500059e-004
-9.70320000e-008,8.65625061e-004
-9.70280000e-008,8.73437562e-004
-9.70240000e-008,8.51562560e-004
-9.70200000e-008,8.00000057e-004
-9.70160000e-008,7.10937550e-004
-9.70120000e-008,6.06250043e-004
-9.70080000e-008,5.07812536e-004
-9.70040000e-008,4.32812531e-004
-9.70000000e-008,4.00000028e-004
-9.69960000e-008,4.12500029e-004
-9.69920000e-008,4.70312533e-004
-9.69880000e-008,5.60937540e-004
-9.69840000e-008,6.76562548e-004
-9.69800000e-008,8.00000057e-004
-9.69760000e-008,9.17187565e-004
-9.69720000e-008,1.01718757e-003
-9.69680000e-008,1.09843758e-003
-9.69640000e-008,1.15937508e-003
